iso2,country,population_m,gdp_eur_bn,gov_employment_k,elec_price_eur_mwh,renewables_pct,land_km2,frontline,grid_isolated,seismic,min_sites,hyperscaler_regions_live,sovereign_cloud_initiative,digital_id,ixp,threat_notes
AT,Austria,9.197,514.3,332.8,198.6,90.1,82519,0,0,low,3,1,"BRZ (Bundesrechenzentrum) federal computing centre / BRZ Cloud; 2026 Digital Administration Guideline names digital sovereignty as core principle; no branded sovereign cloud",ID Austria,VIX Vienna; landlocked (no subsea),"Low seismic (Vienna Basin moderate); Danube/Alpine flood risk (2024); flat land concentrated in the east; winter power importer; gas-import dependent; neutral non-NATO; ~500 km from Ukraine"
BE,Belgium,11.900,642.0,447.3,186.6,31.3,30452,0,0,low,3,2,"Federal G-Cloud (BOSA/Smals community cloud); Smals selected Google Cloud as public-cloud pillar (Jun 2026) under federal sovereignty/portability rules",Belgian eID card + itsme (CSAM),BNIX Brussels; transit via Amsterdam/London,"No seismic; dense and land-constrained; Meuse flood risk (2021); Elia grid connection queues around Brussels/Antwerp; nuclear extension to 2035; gas/electricity import dependent; NATO/EU HQ host (hybrid/cyber target)"
BG,Bulgaria,6.437,116.0,220.3,141.3,33.8,110001,1,0,high,3,0,"State Hybrid Private Cloud (SHPC) for e-Governance - Ministry of e-Government / Information Services JSC (upgraded 2024)",Bulgarian eID (biometric ID card + Evrotrust); EUDI wallet law in draft,BIX.BG and NetIX Sofia; Varna Black Sea landings,"Moderate-high seismic (Vrancea influence; Sofia/Plovdiv zones); Danube floods; cheap abundant land; Black Sea frontline (drone/mine incidents at Varna/Burgas); gas diversified from Russia post-2022; nuclear baseload but ageing grid"
HR,Croatia,3.874,93.0,110.0,154.8,58.0,55896,0,0,high,3,0,"Centar dijeljenih usluga (CDU / Shared Services Centre) state cloud - APIS IT for Ministry of Justice, Public Administration and Digital Transformation; two HA data centres; NRRP-funded",e-Gradani / NIAS + eOI eID card,CIX Zagreb; Dubrovnik (Adria-1) Adriatic links to Italy,"High seismic (2020 Zagreb M5.5, Petrinja M6.4); karst coast with limited flat land; Sava/Danube floods in Slavonia; ~30% electricity imports; Krk LNG terminal gives gas security; NATO"
CY,Cyprus,1.370,36.5,35.9,242.9,24.1,9213,0,1,moderate,2,0,"Government G-Cloud / Government Data Centre - Deputy Ministry of Research, Innovation and Digital Policy (DMRID) + Cyta hosting; RRF hybrid-cloud consolidation",CY Login + Cyprus Digital ID,CyIX Nicosia; major East-Med cable hub (2Africa Cadmos Tamares Medusa),"Moderate seismic (Cyprus Arc); water scarcity and extreme heat; isolated island grid (oil-fired) with no interconnector until Great Sea Interconnector (>2029); divided island; Middle East conflict proximity; non-NATO"
CZ,Czechia,10.410,346.6,342.7,182.5,17.9,77212,0,0,low,3,0,"eGovernment Cloud (eGC) under the Digital and Information Agency (DIA): state part operated by SPCSS (security level 4) + NAKIT; commercial catalogue (Azure OCI Google AWS)",Identita obcana (NIA) / eDoklady / BankID,NIX.CZ Prague; landlocked,"Low seismic; Vltava/Elbe/Morava floods (2024); central location with good land; nuclear baseload (new Dukovany units) but coal exit and gas import; NATO; ~300 km from Ukraine; Russian sabotage/espionage incidents 2024-25"
DK,Denmark,5.993,417.8,166.0,121.6,79.7,41987,0,0,low,3,1,"No sovereign cloud product; Statens It central hosting; Joint Government Digital Strategy 2026-29 + DKK 80m digital-sovereignty action plan; Ministry of Digitalisation Microsoft phase-out (2025)",MitID,DIX Lyngby and Netnod Copenhagen; Blaabjerg/Esbjerg Atlantic landings (Havfrue/AEC-2),"Negligible seismic; low-lying storm-surge risk; land available in Jutland; wind surplus and strong interconnectors (Viking Link) but Zealand connection queues; energy net exporter; Baltic Sea cable/pipeline sabotage exposure; NATO"
EE,Estonia,1.370,41.6,37.1,141.0,38.9,43110,1,0,low,3,0,"Riigipilv (Government Cloud) - RIT (Estonian IT Centre) private state cloud on OCI Dedicated Region + Azure/AWS public-cloud framework (2025); Data Embassy in Luxembourg (2018); X-Road",ID-kaart + Mobiil-ID + Smart-ID,TLLIX/RTIX Tallinn; EESF cables to Helsinki; Estlink HVDC,"No seismic/flood; cold climate and land abundant; FRONTLINE: 300 km Russian border; desynchronised from BRELL Feb 2025 (grid via Estlink/LitPol); repeated subsea sabotage 2023-25; 2007 cyberattack precedent; NATO battlegroup"
FI,Finland,5.636,281.7,116.1,74.8,54.3,304316,1,0,low,3,1,"Valtori (Government ICT Centre) state DCs + public-cloud brokerage; PiTuKri cloud security criteria; Digital Sovereignty Roadmap adopted Apr 2026; no branded sovereign cloud",Suomi.fi e-Identification (DVV),FICIX Helsinki/Espoo/Oulu; C-Lion1 Helsinki-Rostock (damaged Nov 2024),"Very low seismic/flood; abundant land, cold climate, cheapest EU power (nuclear+wind+hydro); 1,340 km Russian border (NATO since 2023); Baltic Sea subsea sabotage risk; continental grid link only via Sweden/Estonia"
FR,France,68.636,2991.1,2271.5,153.4,31.3,633886,0,0,low,4,4,"SecNumCloud (ANSSI) / Cloud de confiance doctrine: OVHcloud Outscale Cloud Temple Thales S3NS qualified; Bleu and NumSpot pending (2026); state clouds Nubo (Finance) and Cloud Pi Native (Interior) via DINUM",FranceConnect / FranceConnect+ + France Identite,France-IX Paris/Marseille; Marseille Mediterranean gateway; Atlantic landings Vendee/Bordeaux/Brittany,"Low seismic (Alps/Pyrenees moderate); Seine/Rhone flood plains; land plentiful outside Ile-de-France; RTE grid saturation Paris/Marseille (state designated turnkey DC sites 2025); nuclear gives low import dependence; terrorism/cyber main threats"
